,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
996,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-granite-stainless-d/7505441047.html,Wed 06 Jul 12:57:34 PM,2795.0,1,1.0,700.0,4.13387,"(2520, 3300]"
997,https://boston.craigslist.org/gbs/apa/d/cambridge-no-fee-sunny-large-bedrooms/7505439361.html,Wed 06 Jul 12:54:29 PM,4195.0,3,1.0,1000.0,3.55393,"(3300, 5100]"
998,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-top-floor-open-floor/7505438072.html,Wed 06 Jul 12:52:08 PM,4295.0,3,2.0,1433.0,4.13387,"(3300, 5100]"
999,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-huge-bed-bath-central/7505436091.html,Wed 06 Jul 12:48:24 PM,3495.0,2,2.0,1055.0,4.13387,"(3300, 5100]"
1000,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7505435457.html,Wed 06 Jul 12:47:15 PM,2300.0,2,1.0,634.0,1.68377,"(795, 2520]"
1001,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7505434320.html,Wed 06 Jul 12:45:21 PM,2275.0,2,1.0,656.0,1.68305,"(795, 2520]"
1002,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-modern-open-floor/7505433551.html,Wed 06 Jul 12:43:52 PM,2795.0,1,1.0,734.0,4.13387,"(2520, 3300]"
1003,https://boston.craigslist.org/gbs/apa/d/allston-unfurnished-bedroom-apartment/7505433127.html,Wed 06 Jul 12:43:05 PM,4775.0,4,1.5,1430.0,4.53943,"(3300, 5100]"
1005,https://boston.craigslist.org/gbs/apa/d/roxbury-crossing-walk-to-hospitals/7505416449.html,Wed 06 Jul 12:13:48 PM,2700.0,1,1.0,750.0,2.77011,"(2520, 3300]"
1007,https://boston.craigslist.org/gbs/apa/d/boston-impeccable-full-service-1bd-d/7505388031.html,Wed 06 Jul 11:22:24 AM,3500.0,1,1.0,780.0,0.29013,"(3300, 5100]"
1008,https://boston.craigslist.org/gbs/apa/d/somerville-somerville-1st-month-free/7505343707.html,Wed 06 Jul 09:51:57 AM,3448.0,1,1.0,679.0,4.01651,"(3300, 5100]"
1009,https://boston.craigslist.org/gbs/apa/d/everett-1br-private-bedroom-230-week-or/7505323512.html,Wed 06 Jul 08:55:29 AM,1000.0,1,2.0,200.0,4.34428,"(795, 2520]"
1010,https://boston.craigslist.org/gbs/apa/d/cambridge-bed-1bath-garage-parking/7505317724.html,Wed 06 Jul 08:34:28 AM,2850.0,2,1.0,950.0,5.66194,"(2520, 3300]"
1011,https://boston.craigslist.org/gbs/apa/d/somerville-beautifully-renovated-2br/7505313227.html,Wed 06 Jul 08:16:10 AM,3150.0,2,1.0,1200.0,4.77773,"(2520, 3300]"
1012,https://boston.craigslist.org/gbs/apa/d/somerville-br-ft2-spacious-2b2b-apt-for/7505307297.html,Wed 06 Jul 07:48:41 AM,2400.0,2,2.0,1254.0,4.46913,"(795, 2520]"
1013,https://boston.craigslist.org/gbs/apa/d/cambridge-or-shorter-1bd-fully/7505257300.html,Tue 05 Jul 11:26:00 PM,2850.0,1,1.0,1000.0,3.29784,"(2520, 3300]"
